"Year","Age","Gender","City","Position","experienced_year","Seniority_level","Current_Salary","main_language","company_size","company_type","programming_skills","lon","lat"
2018,32,"MALE","MUNICH","SOFTWARE ENGINEER","6 to 10","SENIOR",88000,"DEUTSCH","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,25,"MALE","MUNICH","FRONTEND","6 to 10","SENIOR",78000,"ENGLISH","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,37,"MALE","MUNICH","PM","6 to 10","SENIOR",98000,"DEUTSCH","1000+","INSURANCE","UNKNOWN",11.5819805,48.1351253
2018,32,"MALE","BERLIN","TEST AUTOMATION ENGINEER","Less than 5","SENIOR",65000,"ENGLISH","101-1000","STARTUP","UNKNOWN",13.404954,52.5200066
2018,30,"MALE","MUNICH","FRONTEND","6 to 10","SENIOR",60000,"DEUTSCH","101-1000","AGENCY","UNKNOWN",11.5819805,48.1351253
2018,40,"MALE","BERLIN","SOFTWARE ENGINEER","16 to 20","SENIOR",70000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,32,"MALE","MUNICH","SOFTWARE DEVELOPER","11 to 15","MIDDLE",94500,"RUSSIAN","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,33,"MALE","MUNICH","QA","11 to 15","SENIOR",68000,"DEUTSCH","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,24,"MALE","HAMBURG","SOFTWARE ENGINEER","Less than 5","MIDDLE",60000,"ENGLISH","1000+","PRODUCT","UNKNOWN",9.9936819,53.5510846
2018,44,"MALE","BERLIN","FRONTEND","16 to 20","SENIOR",62500,"DEUTSCH","11-50","AGENCY","UNKNOWN",13.404954,52.5200066
2018,37,"MALE","BERLIN","CTO","16 to 20","SENIOR",80000,"ENGLISH","51-100","STARTUP","UNKNOWN",13.404954,52.5200066
2018,34,"FEMALE","BERLIN","QA","6 to 10","SENIOR",53000,"ENGLISH","101-1000","STARTUP","UNKNOWN",13.404954,52.5200066
2018,28,"MALE","MUNICH","FRONTEND","Less than 5","MIDDLE",52000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,35,"MALE","BERLIN","HEAD OF IT","6 to 10","SENIOR",95000,"ENGLISH","11-50","CONSULTING","UNKNOWN",13.404954,52.5200066
2018,32,"MALE","MUNICH","SENIOR SOFTWARE ENGINEER","Less than 5","SENIOR",72000,"ENGLISH","1000+","AGENCY","UNKNOWN",11.5819805,48.1351253
2018,39,"MALE","MUNICH","FRONTEND","11 to 15","SENIOR",77000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,38,"MALE","MUNICH","PM","11 to 15","SENIOR",72000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,31,"MALE","BERLIN","IOS DEVELOPER","Less than 5","MIDDLE",66000,"ENGLISH","1000+","PRODUCT","UNKNOWN",13.404954,52.5200066
2018,39,"MALE","BERLIN","DEVELOPER","6 to 10","MIDDLE",75800,"DEUTSCH","1000+","CORPORATION","UNKNOWN",13.404954,52.5200066
2018,35,"FEMALE","MUNICH","SOFTWARE ENGINEER","11 to 15","SENIOR",84000,"ENGLISH","101-1000","STARTUP","UNKNOWN",11.5819805,48.1351253
2018,32,"MALE","MUNICH","C# DEVELOPER","6 to 10","SENIOR",60000,"ENGLISH","51-100","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,31,"MALE","MUNICH","SENIOR SOFTWARE DEVELOPER","6 to 10","SENIOR",70000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,32,"MALE","MUNICH","C++ DEVELOPER","6 to 10","SENIOR",72000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,35,"MALE","MUNICH","PM","Less than 5","MIDDLE",75000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,33,"MALE","MUNICH","PM","6 to 10","MIDDLE",90000,"DEUTSCH","1000+","PRODUCT","UNKNOWN",11.5819805,48.1351253
2018,32,"MALE","MUNICH","ANDROID DEVELOPER","6 to 10","SENIOR",69000,"ENGLISH","101-1000","PRODUCT","UNKNOWN",11.5819805,48.1351253
